ID,Counts,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,credit
ID-0,5,F,N,N,0,202500,Commercial associate,Higher education,Married,Municipal apartment,-13899,-4709,0,0,0,Commercial_associate_etc,2,-6,1
ID-1,9,F,N,Y,1,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11380,-1540,0,0,1,Laborers,3,-5,1
ID-2,6,M,Y,Y,0,450000,Working,Higher education,Married,House / apartment,-19087,-4434,0,1,0,Managers,2,-22,2
ID-3,2,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,-15088,-2092,0,1,0,Sales staff,2,-37,0
ID-4,1,F,Y,Y,0,157500,State servant,Higher education,Married,House / apartment,-15037,-2105,0,0,0,Managers,2,-26,2
ID-5,1,F,N,Y,2,270000,Working,Secondary / secondary special,Married,House / apartment,-13413,-4996,0,0,1,High skill tech staff,4,-18,1
ID-6,5,F,N,N,0,315000,Working,Secondary / secondary special,Separated,House / apartment,-17570,-1978,0,0,1,Core staff,1,-41,2
ID-7,2,M,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14896,-5420,0,0,1,Drivers,2,-53,0
ID-8,5,M,Y,Y,1,180000,Commercial associate,Higher education,Married,House / apartment,-15131,-1466,0,0,1,Commercial_associate_etc,3,-38,2
ID-9,6,F,N,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,-15785,-1308,0,0,0,Medicine staff,2,-5,2
ID-10,4,F,N,Y,0,193500,Working,Secondary / secondary special,Separated,House / apartment,-19063,-2213,1,1,1,Laborers,1,-40,2
ID-11,6,M,Y,Y,1,135000,Commercial associate,Higher education,Married,House / apartment,-11759,-91,0,0,0,Managers,3,-51,2
ID-12,5,F,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,-11938,-2162,0,0,0,Accountants,3,-60,0
ID-13,4,F,N,N,0,135000,Working,Higher education,Married,House / apartment,-9887,-2474,0,1,0,Sales staff,2,-41,2
ID-14,3,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22922,0,0,1,0,Retirement,1,-41,2
ID-15,4,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,-12859,-4056,0,1,0,Drivers,4,-60,0
ID-16,6,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-19408,-4553,0,1,0,Laborers,2,-2,1
ID-17,5,M,N,N,0,270000,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-8853,-984,0,0,1,Sales staff,2,-14,2
ID-18,3,F,N,Y,0,216000,Pensioner,Secondary / secondary special,Married,House / apartment,-23113,0,0,0,0,Retirement,2,-37,2
ID-19,3,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,-13727,-6031,0,0,0,Working_etc,2,-7,2
ID-20,1,M,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,-19850,-1753,0,1,0,Working_etc,2,-35,2
ID-21,8,F,N,N,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,-21253,0,0,1,0,Retirement,2,-7,2
ID-22,1,F,N,N,0,157500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15198,-1357,0,0,0,Laborers,2,-22,0
ID-23,4,M,Y,N,0,225000,Working,Secondary / secondary special,Married,Municipal apartment,-14542,-444,1,1,1,Working_etc,2,-18,2
ID-24,7,F,N,N,0,202500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22361,0,0,1,0,Retirement,1,-5,2
ID-25,6,F,N,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14058,-3694,0,0,0,Realty agents,3,-4,2
ID-26,5,M,Y,N,1,135000,Working,Higher education,Married,House / apartment,-17843,-3353,1,0,0,Laborers,3,-13,2
ID-27,6,M,Y,Y,0,405000,State servant,Secondary / secondary special,Married,House / apartment,-17309,-3500,0,0,0,State_servant_etc,2,-57,2
ID-28,1,M,Y,N,0,112500,Commercial associate,Secondary / secondary special,Married,With parents,-22111,-2325,1,1,0,Drivers,2,-47,2
ID-29,5,F,N,Y,0,121500,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-12017,-1711,0,1,0,Sales staff,2,-22,0
ID-30,5,M,Y,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-13188,-227,0,0,0,Managers,2,-33,2
ID-31,2,M,Y,Y,0,135000,Commercial associate,Higher education,Married,House / apartment,-11762,-3452,1,0,1,Laborers,2,-18,0
ID-32,10,F,N,Y,0,135000,Working,Higher education,Married,House / apartment,-13299,-1628,0,0,0,Laborers,2,-2,0
ID-33,3,M,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,-19200,-346,0,1,0,High skill tech staff,2,-30,2
ID-34,6,M,Y,Y,1,270000,Working,Secondary / secondary special,Married,House / apartment,-14488,-1630,0,1,0,Laborers,3,-22,0
ID-35,9,F,Y,N,0,225000,Working,Higher education,Civil marriage,House / apartment,-14438,-2433,0,0,0,Managers,2,-20,2
